"Chemical, Biochemical, and Engineering Thermodynamics",Stanley I. Sandler,9780471661740,960
Unit Operations of Chemical Engineering,Warren Lee McCabe,9780072848236,1140
Product and Process Design Principles,Warren D. Seider,9780470048955,736
Process Dynamics and Control,Dale E. Seborg,9780470128671,514
Plant Design and Economics for Chemical Engineers,Max Peters,9780072392661,988
Air Pollution Control Engineering,Noel De Nevers,9781478629054,598
Essentials of Polymer Science and Engineering,Paul C. Painter,9781932078756,525
Design and Analysis of Experiments,Douglas C. Montgomery,9781118146927,752
Turbulence,Peter Davidson,9780198722595,656
Turbulent Flows,S. B. Pope,9780521598866,771
An Introduction to Mass and Heat Transfer,Stanley Middleman,9780471111764,672
Essential Thermodynamics,Athanassios Z. Panagiotopoulos,9781451564945,272
Elements of Chemical Reaction Engineering,H. Scott Fogler,9780133887518,992
Fluid Mechanics for Chemical Engineers with Microfluidics and CFD.,James O. Wilkes,9780131482128,755
Introduction to chemical engineering thermodynamics,Joseph Mauk Smith,9780073104454,817
The properties of gases and liquids,Bruce E. Poling,9780070116825,768
Analysis of Transport Phenomena,William Murray Deen,9780199740284,664
An Introduction to Applied Statistical Thermodynamics,Stanley I. Sandler,9780470913475,372
Inorganic Chemistry,Duward Shriver,9781429299060,830
Solutions Manual for Inorganic Chemistry,Alen Hadzovic,9781464124389,300
Physical Chemistry,Peter Atkins,9781429290197,1060
Problems and Solutions,Heather A. Cox,9780935702996,956
"Problems and Solutions to Accompany McQuarrie and Simon, Physical Chemistry: a Molecular Approach",Heather Cox,9780935702439,956
An Introduction to Combustion: Concepts and Applications,Stephen Turns,9780073380193,752
Organotransition Metal Chemistry,John Frederick Hartwig,9781891389535,1127
Student Solutions Manual for Modern Physical Organic Chemistry,Michael B. Sponsler,9781891389313,349
Advanced Organic Chemistry,Francis A. Carey,9780387683546,1322
Strategic applications of named reactions in organic synthesis,László Kürti,9780124297852,758
Statistical Mechanics,Donald Allan McQuarrie,9781891389153,641
Quantum Computation and Quantum Information,Michael A. Nielsen,9781107002173,702
Nonlinear Programming,Dimitri P. Bertsekas,9781886529052,859
